Data point,Data description,agEUR,CEUR,EURCV,EURe,EURL,EUROC,EUROe,EURS,EURT,IBEUR,PAR,SEUR
Anyone can use it,,,,No (all parties must be whitelisted),Yes,,Yes,Yes,Yes,Yes,,,
Account types,,,,Institutional,Corporate;Retail,,Corporate,Institutional;Corporate,Corporate;Retail,Corporate,,,
Fees: mint fee,,,,,0,,0,0,,,,,
Fees: burn fee,,,,,0,,0,0,,,,,
Fees: transaction fee,,,,,0,,0,0,0.10%,0.10%,,,
Fees: minimum fee,,,,,0,,0,0,,,,,
Fees: other fees,,,,,0,,Yes,0,Yes,Yes,,,
