Data point,Data description,agEUR,CEUR,EURCV,EURe,EURL,EUROC,EUROe,EURS,EURT,IBEUR,PAR,SEUR
Regulatory framework,,,,CAST Framework,Electronic Money Institution,,,Electronic Money Institution,,,,,
EU regulated,,,,,Yes,,No,Yes,No,No,,,
MiCA Compliant,,,,,Likely,,No,Yes,No,No,,,
